query-id	corpus-id	score
q_0	doc_0	1
q_1	doc_1	1
q_3	doc_3	1
q_6	doc_6	1
q_9	doc_9	1
q_11	doc_11	1
q_12	doc_12	1
q_14	doc_14	1
q_15	doc_15	1
q_17	doc_17	1
q_18	doc_18	1
q_21	doc_21	1
q_23	doc_23	1
q_25	doc_25	1
q_27	doc_27	1
q_30	doc_30	1
q_32	doc_32	1
q_33	doc_33	1
q_34	doc_34	1
q_35	doc_35	1
q_37	doc_37	1
q_38	doc_38	1
q_40	doc_40	1
q_44	doc_44	1
q_45	doc_45	1
q_52	doc_52	1
q_53	doc_53	1
q_54	doc_54	1
q_55	doc_55	1
q_56	doc_56	1
q_59	doc_59	1
q_63	doc_63	1
q_72	doc_72	1
q_73	doc_73	1
q_74	doc_74	1
q_75	doc_75	1
q_76	doc_76	1
q_77	doc_77	1
q_79	doc_79	1
q_80	doc_80	1
q_81	doc_81	1
q_84	doc_84	1
q_85	doc_85	1
q_86	doc_86	1
q_90	doc_90	1
q_96	doc_96	1
q_97	doc_97	1
q_98	doc_98	1
q_100	doc_100	1
q_102	doc_102	1
q_107	doc_107	1
q_108	doc_108	1
q_111	doc_111	1
q_112	doc_112	1
q_113	doc_113	1
q_117	doc_117	1
q_118	doc_118	1
q_120	doc_120	1
q_123	doc_123	1
q_124	doc_124	1
q_125	doc_125	1
q_128	doc_128	1
q_129	doc_129	1
q_131	doc_131	1
q_133	doc_133	1
q_135	doc_135	1
q_137	doc_137	1
q_139	doc_139	1
q_141	doc_141	1
q_142	doc_142	1
q_145	doc_145	1
q_147	doc_147	1
q_148	doc_148	1
q_150	doc_150	1
q_153	doc_153	1
q_155	doc_155	1
q_156	doc_156	1
q_161	doc_161	1
q_162	doc_162	1
q_165	doc_165	1
q_167	doc_167	1
q_168	doc_168	1
q_171	doc_171	1
q_173	doc_173	1
q_174	doc_174	1
q_177	doc_177	1
q_179	doc_179	1
q_181	doc_181	1
q_184	doc_184	1
q_185	doc_185	1
q_190	doc_190	1
q_193	doc_193	1
q_194	doc_194	1
q_197	doc_197	1
q_199	doc_199	1
q_202	doc_202	1
q_203	doc_203	1
q_204	doc_204	1
q_207	doc_207	1
q_208	doc_208	1
q_212	doc_212	1
q_214	doc_214	1
q_216	doc_216	1
q_217	doc_217	1
q_218	doc_218	1
q_222	doc_222	1
q_225	doc_225	1
q_227	doc_227	1
q_228	doc_228	1
q_232	doc_232	1
q_233	doc_233	1
q_234	doc_234	1
q_238	doc_238	1
q_244	doc_244	1
q_245	doc_245	1
q_246	doc_246	1
q_247	doc_247	1
q_250	doc_250	1
q_253	doc_253	1
q_254	doc_254	1
q_258	doc_258	1
q_262	doc_262	1
q_264	doc_264	1
q_265	doc_265	1
q_266	doc_266	1
q_267	doc_267	1
q_269	doc_269	1
q_270	doc_270	1
q_271	doc_271	1
q_274	doc_274	1
q_275	doc_275	1
q_276	doc_276	1
q_277	doc_277	1
q_282	doc_282	1
q_283	doc_283	1
q_284	doc_284	1
q_285	doc_285	1
q_286	doc_286	1
q_287	doc_287	1
q_290	doc_290	1
q_292	doc_292	1
q_294	doc_294	1
q_296	doc_296	1
