query-id	corpus-id	score
q_0	doc_0	1
q_4	doc_4	1
q_9	doc_9	1
q_10	doc_10	1
q_12	doc_12	1
q_13	doc_13	1
q_14	doc_14	1
q_18	doc_18	1
q_24	doc_24	1
q_26	doc_26	1
q_27	doc_27	1
q_29	doc_29	1
q_30	doc_30	1
q_31	doc_31	1
q_34	doc_34	1
q_35	doc_35	1
q_37	doc_37	1
q_38	doc_38	1
q_40	doc_40	1
q_44	doc_44	1
q_45	doc_45	1
q_47	doc_47	1
q_54	doc_54	1
q_55	doc_55	1
q_58	doc_58	1
q_59	doc_59	1
q_61	doc_61	1
q_62	doc_62	1
q_64	doc_64	1
q_65	doc_65	1
q_70	doc_70	1
q_72	doc_72	1
q_73	doc_73	1
q_74	doc_74	1
q_75	doc_75	1
q_76	doc_76	1
q_78	doc_78	1
q_83	doc_83	1
q_86	doc_86	1
q_87	doc_87	1
q_91	doc_91	1
q_92	doc_92	1
q_94	doc_94	1
q_98	doc_98	1
q_99	doc_99	1
q_100	doc_100	1
q_101	doc_101	1
q_103	doc_103	1
q_105	doc_105	1
q_107	doc_107	1
q_109	doc_109	1
q_112	doc_112	1
q_113	doc_113	1
q_117	doc_117	1
q_121	doc_121	1
q_122	doc_122	1
q_124	doc_124	1
q_125	doc_125	1
q_126	doc_126	1
q_127	doc_127	1
q_129	doc_129	1
q_132	doc_132	1
q_134	doc_134	1
q_135	doc_135	1
q_137	doc_137	1
q_140	doc_140	1
q_141	doc_141	1
q_143	doc_143	1
q_144	doc_144	1
q_146	doc_146	1
q_148	doc_148	1
q_151	doc_151	1
q_152	doc_152	1
q_153	doc_153	1
q_154	doc_154	1
q_156	doc_156	1
q_157	doc_157	1
q_158	doc_158	1
q_160	doc_160	1
q_162	doc_162	1
q_165	doc_165	1
q_168	doc_168	1
q_169	doc_169	1
q_171	doc_171	1
q_174	doc_174	1
q_175	doc_175	1
q_177	doc_177	1
q_178	doc_178	1
q_179	doc_179	1
q_180	doc_180	1
q_181	doc_181	1
q_187	doc_187	1
q_189	doc_189	1
q_190	doc_190	1
q_197	doc_197	1
q_199	doc_199	1
q_208	doc_208	1
q_211	doc_211	1
q_212	doc_212	1
q_213	doc_213	1
q_216	doc_216	1
q_217	doc_217	1
q_218	doc_218	1
q_220	doc_220	1
q_221	doc_221	1
q_223	doc_223	1
q_224	doc_224	1
q_225	doc_225	1
q_226	doc_226	1
q_231	doc_231	1
q_232	doc_232	1
q_233	doc_233	1
q_234	doc_234	1
q_237	doc_237	1
q_238	doc_238	1
q_240	doc_240	1
q_243	doc_243	1
q_244	doc_244	1
q_247	doc_247	1
q_248	doc_248	1
q_250	doc_250	1
q_251	doc_251	1
q_252	doc_252	1
q_254	doc_254	1
q_255	doc_255	1
q_256	doc_256	1
q_257	doc_257	1
q_264	doc_264	1
q_265	doc_265	1
q_269	doc_269	1
q_271	doc_271	1
q_274	doc_274	1
q_276	doc_276	1
q_277	doc_277	1
q_279	doc_279	1
q_280	doc_280	1
q_281	doc_281	1
q_282	doc_282	1
q_283	doc_283	1
q_284	doc_284	1
q_285	doc_285	1
q_289	doc_289	1
q_290	doc_290	1
q_291	doc_291	1
q_292	doc_292	1
q_293	doc_293	1
q_296	doc_296	1
