query-id	corpus-id	score
q_0	doc_0	1
q_1	doc_1	1
q_2	doc_2	1
q_3	doc_3	1
q_4	doc_4	1
q_5	doc_5	1
q_6	doc_6	1
q_7	doc_7	1
q_8	doc_8	1
q_9	doc_9	1
q_10	doc_10	1
q_11	doc_11	1
q_12	doc_12	1
q_13	doc_13	1
q_14	doc_14	1
q_15	doc_15	1
q_16	doc_16	1
q_17	doc_17	1
q_18	doc_18	1
q_19	doc_19	1
q_20	doc_20	1
q_21	doc_21	1
q_22	doc_22	1
q_23	doc_23	1
q_24	doc_24	1
q_25	doc_25	1
q_26	doc_26	1
q_27	doc_27	1
q_28	doc_28	1
q_29	doc_29	1
q_30	doc_30	1
q_31	doc_31	1
q_32	doc_32	1
q_33	doc_33	1
q_34	doc_34	1
q_35	doc_35	1
q_36	doc_36	1
q_37	doc_37	1
q_38	doc_38	1
q_39	doc_39	1
q_40	doc_40	1
q_41	doc_41	1
q_42	doc_42	1
q_43	doc_43	1
q_44	doc_44	1
q_45	doc_45	1
q_46	doc_46	1
q_47	doc_47	1
q_48	doc_48	1
q_49	doc_49	1
q_50	doc_50	1
q_51	doc_51	1
q_52	doc_52	1
q_53	doc_53	1
q_54	doc_54	1
q_55	doc_55	1
q_56	doc_56	1
q_57	doc_57	1
q_58	doc_58	1
q_59	doc_59	1
q_60	doc_60	1
q_61	doc_61	1
q_62	doc_62	1
q_63	doc_63	1
q_64	doc_64	1
q_65	doc_65	1
q_66	doc_66	1
q_67	doc_67	1
q_68	doc_68	1
q_69	doc_69	1
q_70	doc_70	1
q_71	doc_71	1
q_72	doc_72	1
q_73	doc_73	1
q_74	doc_74	1
q_75	doc_75	1
q_76	doc_76	1
q_77	doc_77	1
q_78	doc_78	1
q_79	doc_79	1
q_80	doc_80	1
q_81	doc_81	1
q_82	doc_82	1
q_83	doc_83	1
q_84	doc_84	1
q_85	doc_85	1
q_86	doc_86	1
q_87	doc_87	1
q_88	doc_88	1
q_89	doc_89	1
q_90	doc_90	1
q_91	doc_91	1
q_92	doc_92	1
q_93	doc_93	1
q_94	doc_94	1
q_95	doc_95	1
q_96	doc_96	1
q_97	doc_97	1
q_98	doc_98	1
q_99	doc_99	1
q_100	doc_100	1
q_101	doc_101	1
q_102	doc_102	1
q_103	doc_103	1
q_104	doc_104	1
q_105	doc_105	1
q_106	doc_106	1
q_107	doc_107	1
q_108	doc_108	1
