query-id	corpus-id	score
q_0	doc_0	1
q_1	doc_1	1
q_2	doc_2	1
q_3	doc_3	1
q_4	doc_4	1
q_5	doc_5	1
q_6	doc_6	1
q_7	doc_7	1
q_8	doc_8	1
q_9	doc_9	1
q_10	doc_10	1
q_11	doc_11	1
q_12	doc_12	1
q_13	doc_13	1
q_14	doc_14	1
q_15	doc_15	1
q_16	doc_16	1
q_17	doc_17	1
q_18	doc_18	1
q_19	doc_19	1
q_20	doc_20	1
q_21	doc_21	1
q_22	doc_22	1
q_23	doc_23	1
q_24	doc_24	1
q_25	doc_25	1
q_26	doc_26	1
q_27	doc_27	1
q_28	doc_28	1
q_29	doc_29	1
q_30	doc_30	1
q_31	doc_31	1
q_32	doc_32	1
q_33	doc_33	1
q_34	doc_34	1
q_35	doc_35	1
q_36	doc_36	1
q_37	doc_37	1
q_38	doc_38	1
