query-id	corpus-id	score
q_1	doc_1	1
q_2	doc_2	1
q_3	doc_3	1
q_5	doc_5	1
q_6	doc_6	1
q_7	doc_7	1
q_8	doc_8	1
q_11	doc_11	1
q_15	doc_15	1
q_16	doc_16	1
q_17	doc_17	1
q_19	doc_19	1
q_20	doc_20	1
q_21	doc_21	1
q_22	doc_22	1
q_23	doc_23	1
q_25	doc_25	1
q_28	doc_28	1
q_32	doc_32	1
q_33	doc_33	1
q_36	doc_36	1
q_39	doc_39	1
q_41	doc_41	1
q_42	doc_42	1
q_43	doc_43	1
q_46	doc_46	1
q_48	doc_48	1
q_49	doc_49	1
q_50	doc_50	1
q_51	doc_51	1
q_52	doc_52	1
q_53	doc_53	1
q_56	doc_56	1
q_57	doc_57	1
q_60	doc_60	1
q_63	doc_63	1
q_66	doc_66	1
q_67	doc_67	1
q_68	doc_68	1
q_69	doc_69	1
q_71	doc_71	1
q_77	doc_77	1
q_79	doc_79	1
q_80	doc_80	1
q_81	doc_81	1
q_82	doc_82	1
q_84	doc_84	1
q_85	doc_85	1
q_88	doc_88	1
q_89	doc_89	1
q_90	doc_90	1
q_93	doc_93	1
q_95	doc_95	1
q_96	doc_96	1
q_97	doc_97	1
q_102	doc_102	1
q_104	doc_104	1
q_106	doc_106	1
q_108	doc_108	1
q_110	doc_110	1
q_111	doc_111	1
q_114	doc_114	1
q_115	doc_115	1
q_116	doc_116	1
q_118	doc_118	1
q_119	doc_119	1
q_120	doc_120	1
q_123	doc_123	1
q_128	doc_128	1
q_130	doc_130	1
q_131	doc_131	1
q_133	doc_133	1
q_136	doc_136	1
q_138	doc_138	1
q_139	doc_139	1
q_142	doc_142	1
q_145	doc_145	1
q_147	doc_147	1
q_149	doc_149	1
q_150	doc_150	1
q_155	doc_155	1
q_159	doc_159	1
q_161	doc_161	1
q_163	doc_163	1
q_164	doc_164	1
q_166	doc_166	1
q_167	doc_167	1
q_170	doc_170	1
q_172	doc_172	1
q_173	doc_173	1
q_176	doc_176	1
q_182	doc_182	1
q_183	doc_183	1
q_184	doc_184	1
q_185	doc_185	1
q_186	doc_186	1
q_188	doc_188	1
q_191	doc_191	1
q_192	doc_192	1
q_193	doc_193	1
q_194	doc_194	1
q_195	doc_195	1
q_196	doc_196	1
q_198	doc_198	1
q_200	doc_200	1
q_201	doc_201	1
q_202	doc_202	1
q_203	doc_203	1
q_204	doc_204	1
q_205	doc_205	1
q_206	doc_206	1
q_207	doc_207	1
q_209	doc_209	1
q_210	doc_210	1
q_214	doc_214	1
q_215	doc_215	1
q_219	doc_219	1
q_222	doc_222	1
q_227	doc_227	1
q_228	doc_228	1
q_229	doc_229	1
q_230	doc_230	1
q_235	doc_235	1
q_236	doc_236	1
q_239	doc_239	1
q_241	doc_241	1
q_242	doc_242	1
q_245	doc_245	1
q_246	doc_246	1
q_249	doc_249	1
q_253	doc_253	1
q_258	doc_258	1
q_259	doc_259	1
q_260	doc_260	1
q_261	doc_261	1
q_262	doc_262	1
q_263	doc_263	1
q_266	doc_266	1
q_267	doc_267	1
q_268	doc_268	1
q_270	doc_270	1
q_272	doc_272	1
q_273	doc_273	1
q_275	doc_275	1
q_278	doc_278	1
q_286	doc_286	1
q_287	doc_287	1
q_288	doc_288	1
q_294	doc_294	1
q_295	doc_295	1
