query-id	corpus-id	score
q_2	doc_2	1
q_4	doc_4	1
q_5	doc_5	1
q_7	doc_7	1
q_8	doc_8	1
q_10	doc_10	1
q_13	doc_13	1
q_16	doc_16	1
q_19	doc_19	1
q_20	doc_20	1
q_22	doc_22	1
q_24	doc_24	1
q_26	doc_26	1
q_28	doc_28	1
q_29	doc_29	1
q_31	doc_31	1
q_36	doc_36	1
q_39	doc_39	1
q_41	doc_41	1
q_42	doc_42	1
q_43	doc_43	1
q_46	doc_46	1
q_47	doc_47	1
q_48	doc_48	1
q_49	doc_49	1
q_50	doc_50	1
q_51	doc_51	1
q_57	doc_57	1
q_58	doc_58	1
q_60	doc_60	1
q_61	doc_61	1
q_62	doc_62	1
q_64	doc_64	1
q_65	doc_65	1
q_66	doc_66	1
q_67	doc_67	1
q_68	doc_68	1
q_69	doc_69	1
q_70	doc_70	1
q_71	doc_71	1
q_78	doc_78	1
q_82	doc_82	1
q_83	doc_83	1
q_87	doc_87	1
q_88	doc_88	1
q_89	doc_89	1
q_91	doc_91	1
q_92	doc_92	1
q_93	doc_93	1
q_94	doc_94	1
q_95	doc_95	1
q_99	doc_99	1
q_101	doc_101	1
q_103	doc_103	1
q_104	doc_104	1
q_105	doc_105	1
q_106	doc_106	1
q_109	doc_109	1
q_110	doc_110	1
q_114	doc_114	1
q_115	doc_115	1
q_116	doc_116	1
q_119	doc_119	1
q_121	doc_121	1
q_122	doc_122	1
q_126	doc_126	1
q_127	doc_127	1
q_130	doc_130	1
q_132	doc_132	1
q_134	doc_134	1
q_136	doc_136	1
q_138	doc_138	1
q_140	doc_140	1
q_143	doc_143	1
q_144	doc_144	1
q_146	doc_146	1
q_149	doc_149	1
q_151	doc_151	1
q_152	doc_152	1
q_154	doc_154	1
q_157	doc_157	1
q_158	doc_158	1
q_159	doc_159	1
q_160	doc_160	1
q_163	doc_163	1
q_164	doc_164	1
q_166	doc_166	1
q_169	doc_169	1
q_170	doc_170	1
q_172	doc_172	1
q_175	doc_175	1
q_176	doc_176	1
q_178	doc_178	1
q_180	doc_180	1
q_182	doc_182	1
q_183	doc_183	1
q_186	doc_186	1
q_187	doc_187	1
q_188	doc_188	1
q_189	doc_189	1
q_191	doc_191	1
q_192	doc_192	1
q_195	doc_195	1
q_196	doc_196	1
q_198	doc_198	1
q_200	doc_200	1
q_201	doc_201	1
q_205	doc_205	1
q_206	doc_206	1
q_209	doc_209	1
q_210	doc_210	1
q_211	doc_211	1
q_213	doc_213	1
q_215	doc_215	1
q_219	doc_219	1
q_220	doc_220	1
q_221	doc_221	1
q_223	doc_223	1
q_224	doc_224	1
q_226	doc_226	1
q_229	doc_229	1
q_230	doc_230	1
q_231	doc_231	1
q_235	doc_235	1
q_236	doc_236	1
q_237	doc_237	1
q_239	doc_239	1
q_240	doc_240	1
q_241	doc_241	1
q_242	doc_242	1
q_243	doc_243	1
q_248	doc_248	1
q_249	doc_249	1
q_251	doc_251	1
q_252	doc_252	1
q_255	doc_255	1
q_256	doc_256	1
q_257	doc_257	1
q_259	doc_259	1
q_260	doc_260	1
q_261	doc_261	1
q_263	doc_263	1
q_268	doc_268	1
q_272	doc_272	1
q_273	doc_273	1
q_278	doc_278	1
q_279	doc_279	1
q_280	doc_280	1
q_281	doc_281	1
q_288	doc_288	1
q_289	doc_289	1
q_291	doc_291	1
q_293	doc_293	1
q_295	doc_295	1
